tconst	ordering	nconst	category	job	characters
tt0000079	1	nm0617588	director	\N	\N
tt0000080	1	nm0617588	director	\N	\N
tt0000081	1	nm0617588	director	\N	\N
tt0000082	1	nm0005690	director	\N	\N
tt0000082	2	nm0005658	cinematographer	\N	\N
tt0000083	1	nm0617588	director	\N	\N
tt0000084	1	nm0617588	director	\N	\N
tt0000085	1	nm0617588	director	\N	\N
tt0000086	1	nm0617588	director	\N	\N
tt0000087	1	nm0617588	director	\N	\N
tt0000088	1	nm0617588	director	\N	\N
tt0000089	1	nm0525908	director	\N	\N
tt0000089	2	nm0698645	director	\N	\N
tt0000089	3	nm0525910	producer	producer	\N
tt0000090	1	nm0617588	director	\N	\N
tt0000091	1	nm0194945	actress	\N	["Young woman"]
tt0000091	2	nm6170115	actor	\N	["Mephistopheles"]
tt0000091	3	nm0617588	actor	\N	["Mephistopheles"]
tt0000092	1	nm0617588	director	\N	\N
tt0000093	1	nm0525908	director	\N	\N
tt0000093	2	nm0525910	director	\N	\N
tt0000094	1	nm9513675	self	\N	["Self"]
tt0000094	2	nm0617588	director	\N	\N
tt0000095	1	nm0617588	director	\N	\N
tt0000096	1	nm0617588	director	\N	\N
tt0000097	1	nm0617588	director	\N	\N
tt0000098	1	nm0617588	director	\N	\N
tt0000099	1	nm0617588	director	\N	\N
tt0000100	1	nm0617588	director	\N	\N
tt0000101	1	nm0617588	director	\N	\N
tt0000102	1	nm0617588	director	\N	\N
tt0000103	1	nm0617588	director	\N	\N
tt0000104	1	nm0525910	producer	producer	\N
tt0000105	1	nm0617588	director	\N	\N
tt0000106	1	nm0617588	director	\N	\N
tt0000107	1	nm0617588	director	\N	\N
tt0000108	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000108	2	nm0005690	director	\N	\N
tt0000108	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000108	4	nm0005658	cinematographer	\N	\N
tt0000109	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000109	2	nm0005690	director	\N	\N
tt0000109	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000109	4	nm0005658	cinematographer	\N	\N
tt0000110	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000110	2	nm0005690	director	\N	\N
tt0000110	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000110	4	nm0005658	cinematographer	\N	\N
tt0000111	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000111	2	nm0005690	director	\N	\N
tt0000111	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000111	4	nm0005658	cinematographer	\N	\N
tt0000112	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000112	2	nm0005690	director	\N	\N
tt0000112	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000112	4	nm0005658	cinematographer	\N	\N
tt0000113	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	2	nm0005690	director	\N	\N
tt0000113	3	nm0410331	writer	story "Rip Van Winkle"	\N
tt0000113	4	nm0005658	cinematographer	\N	\N
tt0000114	1	nm0617588	director	\N	\N
tt0000115	1	nm0617588	director	\N	\N
tt0000116	1	nm0617588	director	\N	\N
tt0000117	1	nm0234288	director	\N	\N
tt0000118	1	nm0617588	director	\N	\N
tt0000119	1	nm0617588	director	\N	\N
tt0000120	1	nm0617588	director	\N	\N
tt0000121	1	nm0832461	actor	\N	["The Soldier"]
tt0000121	2	nm0780534	actress	\N	["The Girl"]
tt0000121	3	nm5718242	actress	\N	["The Woman"]
tt0000121	4	nm0609678	director	\N	\N
tt0000121	5	nm0666972	producer	producer	\N
tt0000122	1	nm0617588	director	\N	\N
tt0000123	1	nm0617588	self	\N	["Self (stage magician)"]
tt0000124	1	nm0617588	director	\N	\N
tt0000125	1	nm0666972	producer	producer	\N
tt0000126	1	nm0617588	director	\N	\N
tt0000127	1	nm0617588	director	\N	\N
tt0000128	1	nm0617588	director	\N	\N
tt0000129	1	nm0617588	director	\N	\N
tt0000130	1	nm0617588	director	\N	\N
tt0000131	1	nm0617588	actor	\N	["L'homme qui essaie de dormir"]
tt0000132	1	nm9342429	actress	\N	["La Serveuse"]
tt0000132	2	nm0577734	actor	\N	["Un joueur de cartes"]
tt0000132	3	nm0617588	actor	\N	["Un joueur de cartes"]
tt0000132	4	nm3029234	actress	\N	["La petite fille"]
tt0000133	1	nm0617588	director	\N	\N
tt0000135	1	nm0005690	director	\N	\N
tt0000135	2	nm0005658	cinematographer	\N	\N
tt0000137	1	nm0349785	director	\N	\N
tt0000138	1	nm0617588	actor	\N	["Inn Guest"]
tt0000139	1	nm0349785	director	\N	\N
tt0000140	1	nm0349785	director	\N	\N
tt0000141	1	nm0349785	director	\N	\N
tt0000142	1	nm0168621	actor	\N	\N
tt0000142	2	nm0924920	director	\N	\N
tt0000142	3	nm0374658	cinematographer	\N	\N
tt0000143	1	nm0349785	director	\N	\N
tt0000144	1	nm0349785	director	\N	\N
tt0000145	1	nm0349785	director	\N	\N
tt0000146	1	nm0349785	director	\N	\N
tt0000147	1	nm0179163	self	\N	["Self"]
tt0000147	2	nm0280615	self	\N	["Self"]
tt0000147	3	nm4082222	self	\N	["Self - Sullivan's Manager"]
tt0000147	4	nm4081458	self	\N	["Self - Referee"]
tt0000147	5	nm0714557	director	\N	\N
tt0000147	6	nm0103755	producer	producer	\N
tt0000147	7	nm2256592	self	\N	["Self - Master of Ceremonies"]
tt0000148	1	nm0349785	director	\N	\N
tt0000149	1	nm0617588	director	\N	\N
tt0000150	1	nm0349785	director	\N	\N
tt0000151	1	nm0194945	actress	\N	\N
tt0000151	2	nm0617588	director	\N	\N
tt0000152	1	nm0617588	actor	\N	\N
tt0000153	1	nm0808310	director	\N	\N
tt0000154	1	nm0010291	director	\N	\N
tt0000155	1	nm0617588	director	\N	\N
tt0000156	1	nm0617588	director	\N	\N
tt0000157	1	nm0349785	director	\N	\N
tt0000158	1	nm0349785	director	\N	\N
tt0000159	1	nm0617588	director	\N	\N
tt0000160	1	nm0095816	director	\N	\N
tt0000160	2	nm0666972	producer	producer	\N
tt0000161	1	nm0349785	director	\N	\N
tt0000162	1	nm0698645	director	\N	\N
tt0000162	2	nm0525908	producer	producer	\N
tt0000162	3	nm0525910	producer	producer	\N
tt0000163	1	nm0349785	director	\N	\N
tt0000164	1	nm0349785	director	\N	\N
tt0000165	1	nm0024876	actor	\N	\N
tt0000165	2	nm0278321	actor	\N	\N
tt0000165	3	nm0005717	actor	\N	\N
tt0000165	4	nm0556371	actor	\N	\N
tt0000165	5	nm0083196	cinematographer	\N	\N
tt0000165	6	nm0563758	actor	\N	\N
tt0000166	1	nm0005717	director	\N	\N
tt0000167	1	nm0422809	director	\N	\N
tt0000168	1	nm0005717	director	\N	\N
tt0000169	1	nm0698645	director	\N	\N
tt0000169	2	nm0677318	producer	producer	\N
tt0000170	1	nm0666972	director	\N	\N
tt0000171	1	nm0349785	director	\N	\N
tt0000172	1	nm0809419	actress	\N	\N
tt0000172	2	nm0338379	actor	\N	["Professor"]
tt0000172	3	nm0808310	director	\N	\N
tt0000173	1	nm0085865	director	\N	\N
tt0000174	1	nm0841389	actor	\N	["Sausage Vendor"]
tt0000174	2	nm1024447	actor	\N	["Sticker"]
tt0000174	3	nm0471818	director	\N	\N
tt0000175	1	nm0795060	director	\N	\N
tt0000175	2	nm0666972	producer	producer	\N
tt0000176	1	nm0666972	producer	producer	\N
tt0000177	1	nm0085865	actor	\N	["The Burglar"]
tt0000177	2	nm0807236	cinematographer	\N	\N
tt0000178	1	nm0692105	director	\N	\N
tt0000179	1	nm0617588	director	\N	\N
tt0000180	1	nm0349785	director	\N	\N
tt0000181	1	nm0809419	actress	\N	["Cinderella"]
tt0000181	2	nm0808310	director	\N	\N
tt0000181	3	nm0674518	writer	story "Cendrillon"	\N
tt0000182	1	nm0666972	director	\N	\N
tt0000183	1	nm0808310	director	\N	\N
tt0000183	2	nm0241416	writer	novel	\N
tt0000184	1	nm0924920	director	\N	\N
tt0000185	1	nm0349785	director	\N	\N
tt0000186	1	nm0617588	director	\N	\N
tt0000187	1	nm0349785	director	\N	\N
tt0000188	1	nm0666972	director	\N	\N
tt0000189	1	nm0005717	director	\N	\N
tt0000190	1	nm0841389	actor	\N	["Old Philanderer"]
tt0000190	2	nm1024447	actor	\N	["Man with Broom"]
tt0000190	3	nm0471818	director	\N	\N
tt0000191	1	nm0349785	director	\N	\N
tt0000192	1	nm0518132	self	\N	["Self"]
tt0000192	2	nm0924920	director	\N	\N
tt0000192	3	nm0238900	writer	novel "Trilby"	\N
tt0000192	4	nm0374658	cinematographer	\N	\N
tt0000193	1	nm0349785	director	\N	\N
tt0000194	1	nm0378408	director	\N	\N
tt0000195	1	nm0349785	director	\N	\N
tt0000196	1	nm0808310	director	\N	\N
tt0000196	2	nm0324473	writer	novel	\N
tt0000197	1	nm0349785	director	\N	\N
tt0000198	1	nm0349785	director	\N	\N
tt0000199	1	nm0666972	producer	producer	\N
tt0000200	1	nm1380868	self	\N	["Self"]
tt0000201	1	nm0168621	self	\N	["Self"]
tt0000201	2	nm0005690	director	\N	\N
tt0000201	3	nm0249379	producer	producer	\N
tt0000202	1	nm0349785	director	\N	\N
tt0000203	1	nm0349785	director	\N	\N
tt0000204	1	nm0349785	director	\N	\N
tt0000205	1	nm0349785	director	\N	\N
tt0000206	1	nm0005717	director	\N	\N
tt0000207	1	nm0666972	producer	producer	\N
tt0000208	1	nm0808310	director	\N	\N
tt0000209	1	nm0808310	director	\N	\N
tt0000210	1	nm0617588	actor	\N	\N
tt0000211	1	nm0194945	actress	\N	["Phoebe - la bonne fée"]
tt0000211	2	nm0617588	actor	\N	["L'astronome"]
tt0000212	1	nm0795060	director	\N	\N
tt0000213	1	nm0349785	director	\N	\N
tt0000214	1	nm0085865	actor	\N	["Hand that tears down the Spanish flag"]
tt0000214	2	nm0807236	producer	producer	\N
tt0000215	1	nm0841389	actor	\N	\N
tt0000215	2	nm0471818	director	\N	\N
tt0000216	1	nm1997201	self	\N	["Self"]
tt0000216	2	nm0454367	self	\N	["Self"]
tt0000216	3	nm0005717	director	\N	\N
tt0000217	1	nm0808310	director	\N	\N
tt0000218	1	nm0617588	actor	\N	["Fernand Labori"]
tt0000219	1	nm0808310	director	\N	\N
tt0000220	1	nm0666972	producer	producer	\N
tt0000221	1	nm0182052	director	\N	\N
tt0000222	1	nm0349785	director	\N	\N
tt0000223	1	nm0349785	director	\N	\N
tt0000224	1	nm0666972	producer	producer	\N
tt0000225	1	nm0207305	writer	story	\N
tt0000226	1	nm0378408	producer	producer	\N
tt0000227	1	nm4427898	director	\N	\N
tt0000227	2	nm0666972	producer	producer	\N
tt0000228	1	nm0349785	director	\N	\N
tt0000229	1	nm0857203	writer	poem	\N
tt0000229	2	nm0924920	producer	producer	\N
tt0000229	3	nm0595213	composer	\N	\N
tt0000230	1	nm1333156	actress	\N	["Cinderella"]
tt0000230	2	nm0076933	actress	\N	["The Fairy Godmother"]
tt0000230	3	nm1778224	actor	\N	["Prince Charming"]
tt0000230	4	nm0194945	actress	\N	["Fairy Godmother"]
tt0000230	5	nm0617588	director	\N	\N
tt0000230	6	nm0674518	writer	story "Cinderella"	\N
tt0000230	7	nm1778292	actor	\N	["Party Guest"]
tt0000231	1	nm0795060	director	\N	\N
tt0000231	2	nm0666972	producer	producer	\N
tt0000232	1	nm0349785	director	\N	\N
tt0000233	1	nm0005717	director	\N	\N
tt0000234	1	nm0194945	actress	\N	["Cleopatre"]
tt0000234	2	nm0617588	actor	\N	["Tomb Digger"]
tt0000235	1	nm0194945	actress	\N	["Ayesha"]
tt0000235	2	nm0617588	actor	\N	["The Devil"]
tt0000235	3	nm0353584	writer	novel "She"	\N
tt0000236	1	nm0349785	director	\N	\N
tt0000237	1	nm0349785	director	\N	\N
tt0000238	1	nm0349785	director	\N	\N
tt0000239	1	nm0349785	director	\N	\N
tt0000240	1	nm0005658	cinematographer	\N	\N
tt0000240	2	nm0555522	cinematographer	\N	\N
tt0000241	1	nm0349785	director	\N	\N
tt0000242	1	nm0617588	actor	\N	["The Devil"]
tt0000243	1	nm0349785	director	\N	\N
tt0000244	1	nm0349785	director	\N	\N
tt0000245	1	nm0002615	producer	producer	\N
tt0000246	1	nm0617588	actor	\N	["Magician"]
tt0000247	10	nm6010696	production_designer	\N	\N
tt0000247	1	nm0002504	actor	\N	["King John"]
tt0000247	2	nm0784327	actor	\N	["Prince Henry"]
tt0000247	3	nm2259742	actor	\N	["Arthur"]
tt0000247	4	nm0924893	actor	\N	["Earl of Pembroke"]
tt0000247	5	nm2156608	director	\N	\N
tt0000247	6	nm0005690	director	\N	\N
tt0000247	7	nm0000636	writer	play	\N
tt0000247	8	nm0744231	composer	\N	\N
tt0000247	9	nm6114857	composer	\N	\N
tt0000248	1	nm0809419	actress	\N	["Wife"]
tt0000248	2	nm0808310	actor	\N	["Husband"]
tt0000249	1	nm0808310	director	\N	\N
tt0000250	1	nm0005717	director	\N	\N
tt0000251	1	nm0177862	director	\N	\N
tt0000252	1	nm0349785	director	\N	\N
tt0000253	1	nm0095816	director	\N	\N
tt0000253	2	nm0666972	producer	producer	\N
tt0000254	1	nm0349785	director	\N	\N
tt0000255	1	nm0349785	director	\N	\N
tt0000256	1	nm0005658	cinematographer	\N	\N
tt0000257	1	nm0349785	director	\N	\N
tt0000258	1	nm0349785	director	\N	\N
tt0000259	1	nm0349785	director	\N	\N
tt0000260	1	nm0349785	director	\N	\N
tt0000261	1	nm0617588	actor	\N	["The Sleeping Man"]
tt0000262	1	nm0349785	director	\N	\N
tt0000264	1	nm0617588	actor	\N	["L'illusioniste"]
tt0000265	1	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000265	2	nm0035502	cinematographer	\N	\N
tt0000266	1	nm0035502	cinematographer	\N	\N
tt0000267	1	nm0349785	director	\N	\N
tt0000268	1	nm0349785	director	\N	\N
tt0000269	1	nm0666972	director	\N	\N
tt0000270	1	nm0349785	director	\N	\N
tt0000271	1	nm0349785	director	\N	\N
tt0000272	1	nm0808310	director	\N	\N
tt0000273	1	nm1040375	actor	\N	["The Officer"]
tt0000273	2	nm1894886	actor	\N	["The Missionary"]
tt0000273	3	nm1895457	actress	\N	["The Girl"]
tt0000273	4	nm0932055	director	\N	\N
tt0000274	1	nm0349785	director	\N	\N
tt0000275	1	nm0349785	director	\N	\N
tt0000276	1	nm0349785	director	\N	\N
tt0000277	1	nm0349785	director	\N	\N
tt0000278	1	nm0168621	self	\N	["Self"]
tt0000279	1	nm0168621	actor	\N	\N
tt0000279	2	nm0555522	cinematographer	\N	\N
tt0000280	1	nm0168621	actor	\N	\N
tt0000280	2	nm0555522	cinematographer	\N	\N
tt0000281	1	nm0168621	actor	\N	\N
tt0000281	2	nm0035502	cinematographer	\N	\N
tt0000282	1	nm0349785	director	\N	\N
tt0000283	1	nm0349785	director	\N	\N
tt0000284	1	nm0349785	director	\N	\N
tt0000285	1	nm0095816	director	\N	\N
tt0000285	2	nm0666972	producer	producer	\N
tt0000286	1	nm0349785	director	\N	\N
tt0000287	1	nm0085865	director	\N	\N
tt0000287	2	nm0807236	director	\N	\N
tt0000288	1	nm0349785	director	\N	\N
tt0000289	1	nm0349785	director	\N	\N
tt0000290	1	nm0349785	director	\N	\N
tt0000291	1	nm0349785	director	\N	\N
tt0000292	1	nm0349785	director	\N	\N
tt0000293	1	nm0349785	director	\N	\N
tt0000294	1	nm0349785	director	\N	\N
tt0000295	1	nm0349785	director	\N	\N
tt0000296	1	nm10501864	actress	\N	["Dancer"]
tt0000296	2	nm0349785	director	\N	\N
tt0000297	1	nm0349785	director	\N	\N
tt0000298	1	nm0349785	director	\N	\N
tt0000299	1	nm0349785	director	\N	\N
tt0000300	1	nm0085865	actor	\N	["Chalk-Talk Artist"]
tt0000300	2	nm0807236	producer	producer	\N
tt0000301	1	nm0692105	director	\N	\N
tt0000301	2	nm0324473	writer	play	\N
tt0000302	1	nm0349785	director	\N	\N
tt0000303	1	nm0349785	director	\N	\N
tt0000304	1	nm2940072	actor	\N	["Willy - the little grandson"]
tt0000304	2	nm0808310	director	\N	\N
tt0000305	1	nm0112631	actress	\N	\N
tt0000305	2	nm0349785	director	\N	\N
tt0000306	1	nm0076800	actress	\N	["Hamlet"]
tt0000306	2	nm0536252	actor	\N	["Laertes"]
tt0000306	3	nm1267013	actress	\N	["A page"]
tt0000306	4	nm0561109	director	\N	\N
tt0000306	5	nm0000636	writer	play "Hamlet"	\N
tt0000306	6	nm5670483	producer	producer	\N
tt0000307	1	nm0085865	actor	\N	["Happy Hooligan"]
tt0000307	2	nm1112850	writer	comic strip "Happy Hooligan"	\N
tt0000308	1	nm2940350	actress	\N	["Little girl"]
tt0000308	2	nm2940072	actor	\N	["Little brother"]
tt0000308	3	nm0808310	director	\N	\N
tt0000309	1	nm0164281	actress	\N	["Passenger"]
tt0000309	2	nm0378408	actor	\N	["Driver"]
tt0000310	1	nm0335788	actor	\N	["Chimmie Hicks"]
tt0000310	2	nm0151209	actress	\N	\N
tt0000310	3	nm0035502	cinematographer	\N	\N
tt0000312	1	nm0349785	director	\N	\N
tt0000313	1	nm0809419	actress	\N	["Young woman"]
tt0000313	2	nm0338379	actor	\N	["Man"]
tt0000313	3	nm0808310	director	\N	\N
tt0000314	1	nm0349785	director	\N	\N
tt0000315	1	nm0349785	director	\N	\N
tt0000316	1	nm0349785	director	\N	\N
tt0000317	1	nm0349785	director	\N	\N
tt0000318	1	nm0804433	actor	\N	["Koechin"]
tt0000318	2	nm0804434	director	\N	\N
tt0000319	1	nm1272063	actor	\N	\N
tt0000319	2	nm1272675	actor	\N	\N
tt0000319	3	nm0793094	director	\N	\N
tt0000320	1	nm0349785	director	\N	\N
tt0000321	1	nm0692105	director	\N	\N
tt0000322	1	nm0005717	director	\N	\N
tt0000323	1	nm0349785	director	\N	\N
tt0000324	1	nm0349785	director	\N	\N
tt0000325	1	nm0112631	actress	\N	\N
tt0000325	2	nm0349785	director	\N	\N
tt0000326	1	nm0112631	actress	\N	\N
tt0000326	2	nm0349785	director	\N	\N
tt0000327	1	nm0349785	director	\N	\N
tt0000328	1	nm0349785	director	\N	\N
tt0000329	1	nm0349785	director	\N	\N
tt0000330	1	nm0349785	director	\N	\N
tt0000331	1	nm0349785	director	\N	\N
tt0000332	1	nm0349785	director	\N	\N
tt0000333	1	nm0349785	director	\N	\N
tt0000334	1	nm0349785	director	\N	\N
tt0000335	1	nm1010955	actress	\N	\N
tt0000335	2	nm1012612	actor	\N	\N
tt0000335	3	nm1011210	actor	\N	\N
tt0000335	4	nm1012621	actor	\N	\N
tt0000335	5	nm0095714	director	\N	\N
tt0000335	6	nm0675140	director	\N	\N
tt0000335	7	nm0675239	actor	\N	["Lion"]
tt0000335	8	nm0675260	actor	\N	["Lion"]
tt0000336	1	nm0349785	director	\N	\N
tt0000337	1	nm0525910	producer	producer	\N
tt0000338	1	nm0349785	director	\N	\N
tt0000339	1	nm0349785	director	\N	\N
tt0000340	1	nm0542567	actor	\N	["Uncle Josh"]
tt0000340	2	nm0692105	director	\N	\N
tt0000341	1	nm0542567	actor	\N	["Uncle Josh"]
tt0000341	2	nm0692105	director	\N	\N
tt0000342	1	nm0349785	director	\N	\N
tt0000343	1	nm0349785	director	\N	\N
tt0000344	1	nm0349785	director	\N	\N
tt0000345	1	nm0349785	director	\N	\N
tt0000346	1	nm0692105	director	\N	\N
tt0000347	1	nm0168621	actor	\N	\N
tt0000347	2	nm0035502	cinematographer	\N	\N
tt0000348	1	nm0349785	director	\N	\N
tt0000349	1	nm0095816	director	\N	\N
tt0000349	2	nm0666972	producer	producer	\N
tt0000350	1	nm0666972	director	\N	\N
tt0000351	1	nm0462306	actress	\N	\N
tt0000351	2	nm0815907	actress	\N	\N
tt0000351	3	nm0349785	director	\N	\N
tt0000352	1	nm0692105	director	\N	\N
tt0000353	1	nm0692105	director	\N	\N
tt0000354	1	nm0182052	director	\N	\N
tt0000355	1	nm0932055	director	\N	\N
tt0000356	1	nm0349785	director	\N	\N
tt0000357	1	nm0095816	director	\N	\N
tt0000357	2	nm0666972	producer	producer	\N
tt0000358	1	nm0509806	actor	\N	\N
tt0000358	2	nm1778194	actor	\N	\N
tt0000358	3	nm0954087	actor	\N	\N
